image_id,image_path,relative_path,label,class_name,folder_name,official_split,width,height,aspect_ratio,brightness_mean,contrast_std,saturation_mean,r_mean,g_mean,b_mean
n02085620_5927,/root/HAT-Deep_Learning/assignments/assignment-1/image/data/stanford_dogs/Images/n02085620-Chihuahua/n02085620_5927.jpg,n02085620-Chihuahua/n02085620_5927.jpg,0,Chihuahua,n02085620-Chihuahua,official_train,360,300,1.2,0.34822818636894226,0.22122123837471008,0.4449039101600647,0.3585076332092285,0.35096293687820435,0.30655813217163086
n02085620_4441,/root/HAT-Deep_Learning/assignments/assignment-1/image/data/stanford_dogs/Images/n02085620-Chihuahua/n02085620_4441.jpg,n02085620-Chihuahua/n02085620_4441.jpg,0,Chihuahua,n02085620-Chihuahua,official_train,375,500,0.75,0.5377596020698547,0.09870168566703796,0.22297735512256622,0.6256120204925537,0.4973192512989044,0.5170791745185852
n02085620_1502,/root/HAT-Deep_Learning/assignments/assignment-1/image/data/stanford_dogs/Images/n02085620-Chihuahua/n02085620_1502.jpg,n02085620-Chihuahua/n02085620_1502.jpg,0,Chihuahua,n02085620-Chihuahua,official_train,500,333,1.5015015015015014,0.5431632399559021,0.2148420214653015,0.2668780982494354,0.6082820296287537,0.5240432620048523,0.4701593816280365
n02085620_1916,/root/HAT-Deep_Learning/assignments/assignment-1/image/data/stanford_dogs/Images/n02085620-Chihuahua/n02085620_1916.jpg,n02085620-Chihuahua/n02085620_1916.jpg,0,Chihuahua,n02085620-Chihuahua,official_train,500,495,1.0101010101010102,0.43029022216796875,0.22732003033161163,0.27440762519836426,0.4635593891143799,0.42592740058898926,0.36573919653892517
n02085620_13151,/root/HAT-Deep_Learning/assignments/assignment-1/image/data/stanford_dogs/Images/n02085620-Chihuahua/n02085620_13151.jpg,n02085620-Chihuahua/n02085620_13151.jpg,0,Chihuahua,n02085620-Chihuahua,official_train,500,336,1.4880952380952381,0.3973689675331116,0.15751484036445618,0.8902349472045898,0.6966491937637329,0.30898237228393555,0.06772896647453308
n02085620_1569,/root/HAT-Deep_Learning/assignments/assignment-1/image/data/stanford_dogs/Images/n02085620-Chihuahua/n02085620_1569.jpg,n02085620-Chihuahua/n02085620_1569.jpg,0,Chihuahua,n02085620-Chihuahua,official_train,278,274,1.0145985401459854,0.531773567199707,0.1993573009967804,0.2054700404405594,0.5767200589179993,0.526419997215271,0.4412130117416382
n02085620_9654,/root/HAT-Deep_Learning/assignments/assignment-1/image/data/stanford_dogs/Images/n02085620-Chihuahua/n02085620_9654.jpg,n02085620-Chihuahua/n02085620_9654.jpg,0,Chihuahua,n02085620-Chihuahua,official_train,461,500,0.922,0.4870196282863617,0.23292791843414307,0.3518997132778168,0.4504181146621704,0.5372018814086914,0.3243364691734314
n02085620_3975,/root/HAT-Deep_Learning/assignments/assignment-1/image/data/stanford_dogs/Images/n02085620-Chihuahua/n02085620_3975.jpg,n02085620-Chihuahua/n02085620_3975.jpg,0,Chihuahua,n02085620-Chihuahua,official_train,336,500,0.672,0.4138675630092621,0.19655205309391022,0.16255345940589905,0.4186936318874359,0.41383978724479675,0.40095075964927673
n02085620_3942,/root/HAT-Deep_Learning/assignments/assignment-1/image/data/stanford_dogs/Images/n02085620-Chihuahua/n02085620_3942.jpg,n02085620-Chihuahua/n02085620_3942.jpg,0,Chihuahua,n02085620-Chihuahua,official_train,478,500,0.956,0.3783169984817505,0.2286161631345749,0.3907901346683502,0.4411453306674957,0.36144354939460754,0.3006919324398041
n02085620_9351,/root/HAT-Deep_Learning/assignments/assignment-1/image/data/stanford_dogs/Images/n02085620-Chihuahua/n02085620_9351.jpg,n02085620-Chihuahua/n02085620_9351.jpg,0,Chihuahua,n02085620-Chihuahua,official_train,500,375,1.3333333333333333,0.4758687913417816,0.2064843624830246,0.16202181577682495,0.49257269501686096,0.47234824299812317,0.44983476400375366
n02085620_574,/root/HAT-Deep_Learning/assignments/assignment-1/image/data/stanford_dogs/Images/n02085620-Chihuahua/n02085620_574.jpg,n02085620-Chihuahua/n02085620_574.jpg,0,Chihuahua,n02085620-Chihuahua,official_train,500,375,1.3333333333333333,0.33831435441970825,0.16153602302074432,0.3220325708389282,0.39096012711524963,0.3232121765613556,0.2770896255970001
n02085620_4998,/root/HAT-Deep_Learning/assignments/assignment-1/image/data/stanford_dogs/Images/n02085620-Chihuahua/n02085620_4998.jpg,n02085620-Chihuahua/n02085620_4998.jpg,0,Chihuahua,n02085620-Chihuahua,official_train,500,375,1.3333333333333333,0.5105078816413879,0.2869398593902588,0.26025494933128357,0.5380491614341736,0.5045530200004578,0.4691318869590759
n02085620_7,/root/HAT-Deep_Learning/assignments/assignment-1/image/data/stanford_dogs/Images/n02085620-Chihuahua/n02085620_7.jpg,n02085620-Chihuahua/n02085620_7.jpg,0,Chihuahua,n02085620-Chihuahua,official_train,250,188,1.3297872340425532,0.28519752621650696,0.3273625671863556,0.3973824679851532,0.29976794123649597,0.28473901748657227,0.249577134847641
n02085620_1617,/root/HAT-Deep_Learning/assignments/assignment-1/image/data/stanford_dogs/Images/n02085620-Chihuahua/n02085620_1617.jpg,n02085620-Chihuahua/n02085620_1617.jpg,0,Chihuahua,n02085620-Chihuahua,official_train,357,238,1.5,0.6137558221817017,0.24803383648395538,0.3055897355079651,0.6922248601913452,0.5915945172309875,0.5213002562522888
n02085620_11140,/root/HAT-Deep_Learning/assignments/assignment-1/image/data/stanford_dogs/Images/n02085620-Chihuahua/n02085620_11140.jpg,n02085620-Chihuahua/n02085620_11140.jpg,0,Chihuahua,n02085620-Chihuahua,official_train,500,375,1.3333333333333333,0.432029664516449,0.15983954071998596,0.39281079173088074,0.5218376517295837,0.40531712770462036,0.3333129584789276
n02085620_5771,/root/HAT-Deep_Learning/assignments/assignment-1/image/data/stanford_dogs/Images/n02085620-Chihuahua/n02085620_5771.jpg,n02085620-Chihuahua/n02085620_5771.jpg,0,Chihuahua,n02085620-Chihuahua,official_train,281,500,0.562,0.3902362585067749,0.1934213489294052,0.3603852093219757,0.36146339774131775,0.39348697662353516,0.44914019107818604
n02085620_275,/root/HAT-Deep_Learning/assignments/assignment-1/image/data/stanford_dogs/Images/n02085620-Chihuahua/n02085620_275.jpg,n02085620-Chihuahua/n02085620_275.jpg,0,Chihuahua,n02085620-Chihuahua,official_train,500,333,1.5015015015015014,0.4091934263706207,0.20288771390914917,0.7888994216918945,0.21402764320373535,0.5596483945846558,0.14644622802734375
n02085620_9399,/root/HAT-Deep_Learning/assignments/assignment-1/image/data/stanford_dogs/Images/n02085620-Chihuahua/n02085620_9399.jpg,n02085620-Chihuahua/n02085620_9399.jpg,0,Chihuahua,n02085620-Chihuahua,official_train,500,375,1.3333333333333333,0.43083181977272034,0.1475551873445511,0.7713685035705566,0.16967377066612244,0.512116551399231,0.6967437863349915
n02085620_10621,/root/HAT-Deep_Learning/assignments/assignment-1/image/data/stanford_dogs/Images/n02085620-Chihuahua/n02085620_10621.jpg,n02085620-Chihuahua/n02085620_10621.jpg,0,Chihuahua,n02085620-Chihuahua,official_train,500,298,1.6778523489932886,0.5521544814109802,0.15299418568611145,0.1761230081319809,0.5600118041038513,0.5570871829986572,0.5058060884475708
n02085620_4266,/root/HAT-Deep_Learning/assignments/assignment-1/image/data/stanford_dogs/Images/n02085620-Chihuahua/n02085620_4266.jpg,n02085620-Chihuahua/n02085620_4266.jpg,0,Chihuahua,n02085620-Chihuahua,official_train,500,375,1.3333333333333333,0.5721083879470825,0.21496759355068207,0.28797245025634766,0.5758780241012573,0.5927936434745789,0.4560599625110626
n02085620_7738,/root/HAT-Deep_Learning/assignments/assignment-1/image/data/stanford_dogs/Images/n02085620-Chihuahua/n02085620_7738.jpg,n02085620-Chihuahua/n02085620_7738.jpg,0,Chihuahua,n02085620-Chihuahua,official_train,500,375,1.3333333333333333,0.39158615469932556,0.2451643943786621,0.30203983187675476,0.4112538695335388,0.390813410282135,0.3438616394996643
n02085620_3110,/root/HAT-Deep_Learning/assignments/assignment-1/image/data/stanford_dogs/Images/n02085620-Chihuahua/n02085620_3110.jpg,n02085620-Chihuahua/n02085620_3110.jpg,0,Chihuahua,n02085620-Chihuahua,official_train,450,338,1.331360946745562,0.40395447611808777,0.20304225385189056,0.4817230701446533,0.5041981935501099,0.369268000125885,0.31951892375946045
n02085620_12101,/root/HAT-Deep_Learning/assignments/assignment-1/image/data/stanford_dogs/Images/n02085620-Chihuahua/n02085620_12101.jpg,n02085620-Chihuahua/n02085620_12101.jpg,0,Chihuahua,n02085620-Chihuahua,official_train,380,253,1.5019762845849802,0.31699252128601074,0.29306501150131226,0.28210482001304626,0.3667246401309967,0.295930951833725,0.2960401475429535
n02085620_8558,/root/HAT-Deep_Learning/assignments/assignment-1/image/data/stanford_dogs/Images/n02085620-Chihuahua/n02085620_8558.jpg,n02085620-Chihuahua/n02085620_8558.jpg,0,Chihuahua,n02085620-Chihuahua,official_train,215,214,1.0046728971962617,0.3926025629043579,0.1350279450416565,0.6766493320465088,0.5070743560791016,0.3747801184654236,0.18390443921089172
n02085620_7700,/root/HAT-Deep_Learning/assignments/assignment-1/image/data/stanford_dogs/Images/n02085620-Chihuahua/n02085620_7700.jpg,n02085620-Chihuahua/n02085620_7700.jpg,0,Chihuahua,n02085620-Chihuahua,official_train,500,375,1.3333333333333333,0.4719451367855072,0.148064523935318,0.385364830493927,0.5529016256332397,0.45511290431022644,0.34641724824905396
