image_id,image_path,relative_path,label,class_name,folder_name,official_split,width,height,aspect_ratio,split
n02107142_4013,/root/data/stanford_dogs/Images/n02107142-Doberman/n02107142_4013.jpg,n02107142-Doberman/n02107142_4013.jpg,85,Doberman,n02107142-Doberman,official_train,236,350,0.6742857142857143,train
n02091244_5818,/root/data/stanford_dogs/Images/n02091244-Ibizan_hound/n02091244_5818.jpg,n02091244-Ibizan_hound/n02091244_5818.jpg,22,Ibizan hound,n02091244-Ibizan_hound,official_train,375,500,0.75,train
n02107574_2912,/root/data/stanford_dogs/Images/n02107574-Greater_Swiss_Mountain_dog/n02107574_2912.jpg,n02107574-Greater_Swiss_Mountain_dog/n02107574_2912.jpg,87,Greater Swiss Mountain dog,n02107574-Greater_Swiss_Mountain_dog,official_train,500,334,1.4970059880239521,train
n02091831_1387,/root/data/stanford_dogs/Images/n02091831-Saluki/n02091831_1387.jpg,n02091831-Saluki/n02091831_1387.jpg,25,Saluki,n02091831-Saluki,official_train,476,480,0.9916666666666667,train
n02109525_10805,/root/data/stanford_dogs/Images/n02109525-Saint_Bernard/n02109525_10805.jpg,n02109525-Saint_Bernard/n02109525_10805.jpg,96,Saint Bernard,n02109525-Saint_Bernard,official_train,500,417,1.1990407673860912,train
n02093859_3113,/root/data/stanford_dogs/Images/n02093859-Kerry_blue_terrier/n02093859_3113.jpg,n02093859-Kerry_blue_terrier/n02093859_3113.jpg,32,Kerry blue terrier,n02093859-Kerry_blue_terrier,official_train,240,234,1.0256410256410255,train
n02090379_4997,/root/data/stanford_dogs/Images/n02090379-redbone/n02090379_4997.jpg,n02090379-redbone/n02090379_4997.jpg,17,redbone,n02090379-redbone,official_train,350,263,1.3307984790874525,train
n02096437_3451,/root/data/stanford_dogs/Images/n02096437-Dandie_Dinmont/n02096437_3451.jpg,n02096437-Dandie_Dinmont/n02096437_3451.jpg,43,Dandie Dinmont,n02096437-Dandie_Dinmont,official_train,500,329,1.5197568389057752,train
n02102973_2449,/root/data/stanford_dogs/Images/n02102973-Irish_water_spaniel/n02102973_2449.jpg,n02102973-Irish_water_spaniel/n02102973_2449.jpg,70,Irish water spaniel,n02102973-Irish_water_spaniel,official_train,1849,1541,1.199870214146658,train
n02095889_1290,/root/data/stanford_dogs/Images/n02095889-Sealyham_terrier/n02095889_1290.jpg,n02095889-Sealyham_terrier/n02095889_1290.jpg,39,Sealyham terrier,n02095889-Sealyham_terrier,official_train,732,613,1.1941272430668841,train
n02098413_21411,/root/data/stanford_dogs/Images/n02098413-Lhasa/n02098413_21411.jpg,n02098413-Lhasa/n02098413_21411.jpg,53,Lhasa,n02098413-Lhasa,official_train,500,332,1.5060240963855422,train
n02091134_12476,/root/data/stanford_dogs/Images/n02091134-whippet/n02091134_12476.jpg,n02091134-whippet/n02091134_12476.jpg,21,whippet,n02091134-whippet,official_train,500,374,1.3368983957219251,train
n02096294_537,/root/data/stanford_dogs/Images/n02096294-Australian_terrier/n02096294_537.jpg,n02096294-Australian_terrier/n02096294_537.jpg,42,Australian terrier,n02096294-Australian_terrier,official_train,360,461,0.7809110629067245,train
n02106550_9432,/root/data/stanford_dogs/Images/n02106550-Rottweiler/n02106550_9432.jpg,n02106550-Rottweiler/n02106550_9432.jpg,83,Rottweiler,n02106550-Rottweiler,official_train,500,314,1.5923566878980893,train
n02106030_10883,/root/data/stanford_dogs/Images/n02106030-collie/n02106030_10883.jpg,n02106030-collie/n02106030_10883.jpg,80,collie,n02106030-collie,official_train,500,375,1.3333333333333333,train
n02106030_9153,/root/data/stanford_dogs/Images/n02106030-collie/n02106030_9153.jpg,n02106030-collie/n02106030_9153.jpg,80,collie,n02106030-collie,official_train,500,374,1.3368983957219251,train
n02102177_4292,/root/data/stanford_dogs/Images/n02102177-Welsh_springer_spaniel/n02102177_4292.jpg,n02102177-Welsh_springer_spaniel/n02102177_4292.jpg,67,Welsh springer spaniel,n02102177-Welsh_springer_spaniel,official_train,500,479,1.0438413361169103,train
n02107312_3994,/root/data/stanford_dogs/Images/n02107312-miniature_pinscher/n02107312_3994.jpg,n02107312-miniature_pinscher/n02107312_3994.jpg,86,miniature pinscher,n02107312-miniature_pinscher,official_train,375,500,0.75,train
