image_id,image_path,relative_path,label,class_name,folder_name,official_split,width,height,aspect_ratio,brightness_mean,contrast_std,saturation_mean,r_mean,g_mean,b_mean
n02085620_5927,/root/data/stanford_dogs/Images/n02085620-Chihuahua/n02085620_5927.jpg,n02085620-Chihuahua/n02085620_5927.jpg,0,Chihuahua,n02085620-Chihuahua,official_train,360,300,1.2,0.34822818636894226,0.22122125327587128,0.4449039101600647,0.3585076332092285,0.35096296668052673,0.30655813217163086
n02085620_4441,/root/data/stanford_dogs/Images/n02085620-Chihuahua/n02085620_4441.jpg,n02085620-Chihuahua/n02085620_4441.jpg,0,Chihuahua,n02085620-Chihuahua,official_train,375,500,0.75,0.5377596020698547,0.09870168566703796,0.22297735512256622,0.6256120800971985,0.4973192811012268,0.5170791745185852
n02085620_1502,/root/data/stanford_dogs/Images/n02085620-Chihuahua/n02085620_1502.jpg,n02085620-Chihuahua/n02085620_1502.jpg,0,Chihuahua,n02085620-Chihuahua,official_train,500,333,1.5015015015015014,0.5431632399559021,0.2148420214653015,0.26687806844711304,0.6082820296287537,0.5240432024002075,0.4701593816280365
n02085620_1916,/root/data/stanford_dogs/Images/n02085620-Chihuahua/n02085620_1916.jpg,n02085620-Chihuahua/n02085620_1916.jpg,0,Chihuahua,n02085620-Chihuahua,official_train,500,495,1.0101010101010102,0.430290162563324,0.22732003033161163,0.27440762519836426,0.4635592997074127,0.42592737078666687,0.3657391667366028
n02085620_13151,/root/data/stanford_dogs/Images/n02085620-Chihuahua/n02085620_13151.jpg,n02085620-Chihuahua/n02085620_13151.jpg,0,Chihuahua,n02085620-Chihuahua,official_train,500,336,1.4880952380952381,0.39736899733543396,0.15751484036445618,0.8902350068092346,0.6966492533683777,0.30898234248161316,0.06772897392511368
n02085620_1569,/root/data/stanford_dogs/Images/n02085620-Chihuahua/n02085620_1569.jpg,n02085620-Chihuahua/n02085620_1569.jpg,0,Chihuahua,n02085620-Chihuahua,official_train,278,274,1.0145985401459854,0.531773567199707,0.1993573009967804,0.2054700404405594,0.5767200589179993,0.5264200568199158,0.4412130117416382
n02085620_9654,/root/data/stanford_dogs/Images/n02085620-Chihuahua/n02085620_9654.jpg,n02085620-Chihuahua/n02085620_9654.jpg,0,Chihuahua,n02085620-Chihuahua,official_train,461,500,0.922,0.48701968789100647,0.23292791843414307,0.3518997132778168,0.450418084859848,0.537202000617981,0.324336439371109
n02085620_3975,/root/data/stanford_dogs/Images/n02085620-Chihuahua/n02085620_3975.jpg,n02085620-Chihuahua/n02085620_3975.jpg,0,Chihuahua,n02085620-Chihuahua,official_train,336,500,0.672,0.4138675034046173,0.1965520679950714,0.16255345940589905,0.4186936020851135,0.41383984684944153,0.4009507894515991
n02085620_3942,/root/data/stanford_dogs/Images/n02085620-Chihuahua/n02085620_3942.jpg,n02085620-Chihuahua/n02085620_3942.jpg,0,Chihuahua,n02085620-Chihuahua,official_train,478,500,0.956,0.3783169984817505,0.22861619293689728,0.3907901346683502,0.4411453306674957,0.36144354939460754,0.30069199204444885
n02085620_9351,/root/data/stanford_dogs/Images/n02085620-Chihuahua/n02085620_9351.jpg,n02085620-Chihuahua/n02085620_9351.jpg,0,Chihuahua,n02085620-Chihuahua,official_train,500,375,1.3333333333333333,0.4758688807487488,0.2064843624830246,0.16202178597450256,0.49257275462150574,0.4723482131958008,0.44983476400375366
